"","also","can","even","get","know","new","one","people","subject","think","use","well","will","article","dont","good","just","now","time","writes"
"1",3,2,1,3,1,4,3,6,1,1,1,2,1,0,0,0,0,0,0,0
"2",9,13,21,1,5,0,17,21,2,4,6,4,7,6,16,7,16,1,7,0
"3",1,1,4,0,1,1,5,1,1,3,0,3,0,1,3,0,0,0,2,1
"4",0,4,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1
"5",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"6",0,6,3,0,3,0,5,1,1,1,1,2,11,1,2,11,2,2,1,1
"7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"8",0,0,0,0,0,0,4,2,1,0,0,0,0,1,1,0,0,0,0,1
"9",0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,2,0,2,0,1
"10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"11",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"12",0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"13",1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1
"14",0,0,1,1,4,0,4,2,1,1,0,1,3,0,3,0,2,0,0,1
"15",0,1,1,1,0,0,0,6,1,6,1,0,1,0,0,0,1,0,0,1
"16",1,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,1
"17",1,0,1,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1
"18",0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,1,0,0,1
"19",0,0,1,0,1,0,5,3,1,1,0,0,1,2,1,0,1,1,0,2
"20",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"21",0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2
"22",0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
"23",2,18,4,0,14,0,6,8,1,6,0,3,7,0,4,2,2,3,1,1
"24",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
"25",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"26",0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1
"27",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
"28",0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,1
"29",0,1,0,0,1,0,1,1,1,0,2,1,1,1,1,0,0,1,1,1
"30",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"31",0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1
"32",1,2,0,0,0,3,0,2,2,0,4,0,8,0,0,0,1,1,1,0
"33",1,0,0,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"34",3,2,3,0,1,0,1,1,1,4,3,2,4,1,3,0,1,0,1,1
"35",0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
"36",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"37",2,1,1,0,0,0,2,2,1,3,0,4,5,1,6,2,2,3,0,2
"38",1,1,0,0,0,0,2,0,1,2,0,0,0,1,1,1,0,0,0,1
"39",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"40",0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
"41",1,0,1,0,0,0,1,2,1,0,0,1,1,0,0,1,0,0,0,1
"42",1,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2
"43",0,3,1,1,0,0,5,0,1,1,0,2,1,0,1,0,0,2,2,1
"44",0,0,0,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2
"45",2,0,0,0,0,0,1,3,1,0,0,1,0,1,4,0,3,1,0,1
"46",2,4,1,0,2,1,2,0,1,0,1,2,2,1,1,2,2,0,1,1
"47",0,0,0,0,2,0,2,3,1,0,0,0,0,1,4,0,2,0,0,1
"48",0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2
"49",0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
"50",0,0,2,1,2,0,1,3,1,0,0,0,1,0,0,0,1,0,0,1
"51",1,1,0,2,0,0,1,0,1,0,0,0,1,1,0,3,2,0,0,1
"52",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"53",0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
"54",1,1,0,1,1,0,0,1,2,4,0,0,2,2,1,0,1,0,0,2
"55",0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,2,0,2
"56",0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
"57",0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,1,2,0,2
"58",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2
"59",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,2
"60",0,0,0,0,0,0,1,0,1,1,0,2,2,2,0,1,0,0,2,0
"61",1,0,0,0,0,0,0,3,1,0,0,0,0,3,2,1,0,1,0,3
"62",1,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,2
"63",0,0,1,0,2,0,0,0,1,1,0,0,1,1,3,0,0,0,0,2
"64",0,0,0,0,0,0,4,1,1,0,0,0,0,1,1,0,0,0,0,1
"65",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1
"66",1,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,1,3,2
"67",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"68",0,0,1,1,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,2
"69",0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,2
"70",0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2
"71",0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,5,0,0,0,2
"72",0,1,0,0,0,0,1,2,1,3,0,0,0,0,0,0,2,0,0,1
"73",1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2
"74",1,0,2,0,0,0,1,5,1,1,0,0,2,3,0,0,0,1,0,3
"75",0,0,0,1,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,1
"76",0,1,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1
"77",0,1,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,1,0,2
"78",1,2,1,0,0,0,2,0,1,1,0,2,1,1,0,0,0,0,0,2
"79",0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
"80",0,1,0,1,0,0,1,0,1,0,0,0,7,2,0,0,0,1,0,2
"81",0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4
"82",0,1,0,1,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0,1
"83",1,0,0,1,0,0,1,0,1,0,0,1,0,2,1,0,0,0,1,2
"84",0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
"85",1,2,3,2,2,0,0,3,1,0,0,0,2,1,0,1,2,1,7,1
"86",0,2,0,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,0,2
"87",0,3,1,0,0,0,5,2,1,0,0,0,1,1,1,1,0,0,0,1
"88",1,8,0,0,6,1,2,4,2,2,1,1,0,1,4,2,4,1,2,1
"89",0,1,1,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0,0,2
"90",1,0,0,3,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,1
"91",0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"92",0,0,1,0,1,0,0,1,1,0,0,0,2,0,2,0,0,0,0,1
"93",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"94",1,1,2,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,2
"95",0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,2
"96",0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,2
"97",1,1,0,1,2,0,0,0,1,3,0,0,4,2,1,0,2,0,0,2
"98",0,0,0,0,0,0,0,2,1,0,0,0,7,1,1,0,0,0,0,1
"99",0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2
"100",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2
"101",1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2
"102",0,2,1,0,0,0,0,2,1,0,0,1,0,1,0,2,0,0,1,2
"103",1,2,0,2,0,0,1,1,1,1,0,1,1,0,4,1,3,0,0,0
"104",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"105",0,1,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,1
"106",0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"107",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"108",1,1,2,0,0,0,4,1,1,2,0,0,1,0,2,1,1,1,0,0
"109",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
"110",0,1,0,0,0,0,0,3,1,2,1,0,0,0,3,0,0,0,0,1
"111",0,3,1,1,0,0,0,4,1,0,2,1,0,0,1,0,0,1,0,1
"112",1,2,0,0,0,0,0,8,1,7,0,0,0,0,6,0,2,0,0,1
"113",0,2,0,0,0,0,0,1,1,1,2,0,1,0,1,0,1,0,0,1
